Symbol,Date,Close
ADBE,4/27/2015,76.55
ADBE,4/28/2015,76.02
ADBE,4/29/2015,76.65
ADBE,4/30/2015,76.06
ADBE,5/1/2015,76.43
ADBE,5/4/2015,75.85
ADBE,5/5/2015,75
ADBE,5/6/2015,74.48
ADBE,5/7/2015,74.73
ADBE,5/8/2015,76.31
ADBE,5/11/2015,76.79
ADBE,5/12/2015,76.57
ADBE,5/13/2015,77.08
ADBE,5/14/2015,79.43
ADBE,5/15/2015,78.92
ADBE,5/18/2015,79.41
ADBE,5/19/2015,79.62
ADBE,5/20/2015,79.61
ADBE,5/21/2015,80.56
ADBE,5/22/2015,80.04
ADBE,5/26/2015,79.36
ADBE,5/27/2015,80.16
ADBE,5/28/2015,80.02
ADBE,5/29/2015,79.09
ADBE,6/1/2015,79.87
ADBE,6/2/2015,79.82
ADBE,6/3/2015,80.13
ADBE,6/4/2015,78.75
ADBE,6/5/2015,78.86
ADBE,6/8/2015,78.16
ADBE,6/9/2015,77.9
ADBE,6/10/2015,79.56
ADBE,6/11/2015,79.65
ADBE,6/12/2015,79.86
ADBE,6/15/2015,78.9
ADBE,6/16/2015,79.94
ADBE,6/17/2015,77.91
ADBE,6/18/2015,79.39
ADBE,6/19/2015,79.7
ADBE,6/22/2015,82.28
ADBE,6/23/2015,83.55
ADBE,6/24/2015,83.4
ADBE,6/25/2015,83.94
ADBE,6/26/2015,82.74
ADBE,6/29/2015,81.28
ADBE,6/30/2015,81.01
ADBE,7/1/2015,80.94
ADBE,7/2/2015,80.75
ADBE,7/6/2015,80.5
ADBE,7/7/2015,80.59
ADBE,7/8/2015,79.99
ADBE,7/9/2015,80.47
ADBE,7/10/2015,80.59
ADBE,7/13/2015,81.44
ADBE,7/14/2015,81.89
ADBE,7/15/2015,82.12
ADBE,7/16/2015,82.52
ADBE,7/17/2015,82.1
ADBE,7/20/2015,82.09
ADBE,7/21/2015,81.19
ADBE,7/22/2015,80.73
ADBE,7/23/2015,80.64
ADBE,7/24/2015,80.98
ADBE,7/27/2015,79.93
ADBE,7/28/2015,80.59
ADBE,7/29/2015,80.25
ADBE,7/30/2015,81.29
ADBE,7/31/2015,81.99
ADBE,8/3/2015,81.4
ADBE,8/4/2015,82.06
ADBE,8/5/2015,83.38
ADBE,8/6/2015,82.19
ADBE,8/7/2015,82.69
ADBE,8/10/2015,83.62
ADBE,8/11/2015,83.9
ADBE,8/12/2015,83.82
ADBE,8/13/2015,84.31
ADBE,8/14/2015,86.12
ADBE,8/17/2015,86.77
ADBE,8/18/2015,86.45
